[2025-02-22 10:12:30] | WARNING | GET /favicon.ico
[2025-02-22 10:12:30] | INFO | POST /upload
[2025-02-22 10:12:31] | INFO | POST /upload
[2025-02-26 19:59:21] | INFO | POST /upload
[2025-02-26 19:59:21] | INFO | POST /upload
[2025-03-02 09:28:50] | INFO | GET /
[2025-03-02 09:29:27] | INFO | GET /
[2025-03-02 09:29:29] | INFO | GET /
[2025-03-02 09:29:34] | INFO | GET /upload
[2025-03-02 09:29:36] | INFO | GET /upload
[2025-03-02 09:29:39] | INFO | GET /upload/
[2025-03-02 09:29:54] | INFO | POST прищел такой запрос /upload
[2025-03-02 09:29:54] | INFO | POST прищел такой запрос /upload
[2025-03-02 09:31:35] | INFO | POST прищел такой запрос /upload
[2025-03-02 09:31:41] | INFO | GET /images
[2025-03-02 09:31:44] | INFO | GET /upload/
[2025-03-02 09:31:48] | INFO | POST прищел такой запрос /upload/
[2025-03-02 09:31:48] | INFO | POST прищел такой запрос /upload/
[2025-03-02 09:31:48] | INFO | POST прищел такой запрос /upload/
[2025-03-02 09:32:05] | INFO | GET /upload/
[2025-03-02 09:32:09] | INFO | POST прищел такой запрос /upload/
[2025-03-02 09:32:09] | INFO | POST прищел такой запрос /upload/
[2025-03-02 09:33:23] | INFO | POST пришел такой запрос /upload/
[2025-03-02 09:33:32] | INFO | GET /upload
[2025-03-02 09:33:32] | INFO | GET /upload
[2025-03-02 09:33:34] | INFO | GET /upload.
[2025-03-02 09:33:37] | INFO | GET /upload
[2025-03-02 09:33:38] | INFO | GET /upload/
[2025-03-02 09:33:41] | INFO | POST пришел такой запрос /upload/
[2025-03-02 09:33:41] | INFO | POST пришел такой запрос /upload/
[2025-03-02 09:33:42] | INFO | POST пришел такой запрос /upload/
[2025-03-02 09:34:13] | INFO | GET /
[2025-03-02 09:34:16] | INFO | GET /upload/
[2025-03-02 09:34:20] | INFO | POST пришел такой запрос /upload/
[2025-03-02 09:34:20] | INFO | Upload succes /upload/
[2025-03-03 09:25:34] | INFO | Server address: 192.168.14.169:8000
[2025-03-03 09:29:06] | INFO | Server address: 192.168.14.169:8000
[2025-03-03 09:29:56] | INFO | Server address: 192.168.14.169:8000
[2025-03-03 09:29:58] | INFO | GET пришел вот как!!!/
[2025-03-03 09:29:58] | INFO | base_url http://192.168.14.169:8000
[2025-03-03 09:29:58] | INFO | GET пришел вот как!!!/favicon.ico
[2025-03-03 14:13:08] | INFO | Server address: 192.168.14.169:8000
[2025-03-03 14:13:12] | INFO | GET /
[2025-03-03 14:13:12] | WARNING | GET 404 /
[2025-03-03 14:13:13] | INFO | GET /
[2025-03-03 14:13:13] | WARNING | GET 404 /
[2025-03-03 14:13:13] | INFO | GET /
[2025-03-03 14:13:13] | WARNING | GET 404 /
[2025-03-03 14:13:13] | INFO | GET /
[2025-03-03 14:13:13] | WARNING | GET 404 /
[2025-03-03 14:13:14] | INFO | GET /
[2025-03-03 14:13:14] | WARNING | GET 404 /
[2025-03-03 14:13:14] | INFO | GET /
[2025-03-03 14:13:14] | WARNING | GET 404 /
[2025-03-03 14:13:14] | INFO | GET /
[2025-03-03 14:13:14] | WARNING | GET 404 /
[2025-03-03 14:13:19] | INFO | GET /
[2025-03-03 14:13:19] | WARNING | GET 404 /
[2025-03-03 14:13:21] | INFO | GET /upload
[2025-03-03 14:13:21] | INFO | GET /favicon.ico
[2025-03-03 14:13:21] | WARNING | GET 404 /favicon.ico
[2025-03-03 14:13:21] | INFO | GET /favicon.ico
[2025-03-03 14:13:21] | WARNING | GET 404 /favicon.ico
[2025-03-03 14:13:25] | INFO | GET /images
[2025-03-03 14:13:25] | INFO | base_url http://192.168.14.169:8000
[2025-03-03 14:13:25] | INFO | GET /favicon.ico
[2025-03-03 14:13:25] | WARNING | GET 404 /favicon.ico
[2025-03-03 14:13:25] | INFO | GET /favicon.ico
[2025-03-03 14:13:25] | WARNING | GET 404 /favicon.ico
[2025-03-03 14:13:25] | INFO | GET /favicon.ico
[2025-03-03 14:13:25] | WARNING | GET 404 /favicon.ico
[2025-03-03 14:17:23] | INFO | GET /favicon.ico
[2025-03-03 14:17:23] | WARNING | GET 404 /favicon.ico
[2025-03-03 14:17:23] | INFO | GET /favicon.ico
[2025-03-03 14:17:23] | WARNING | GET 404 /favicon.ico
[2025-03-03 14:17:23] | INFO | GET /favicon.ico
[2025-03-03 14:17:23] | WARNING | GET 404 /favicon.ico
[2025-03-03 14:17:29] | INFO | GET /upload
[2025-03-03 14:17:29] | INFO | GET /favicon.ico
[2025-03-03 14:17:29] | WARNING | GET 404 /favicon.ico
[2025-03-03 14:17:29] | INFO | GET /favicon.ico
[2025-03-03 14:17:29] | WARNING | GET 404 /favicon.ico
[2025-03-03 14:17:33] | INFO | POST пришел такой запрос /upload
[2025-03-03 14:17:53] | INFO | POST пришел такой запрос /upload
[2025-03-03 14:17:53] | INFO | Upload succes /upload
[2025-03-03 14:17:53] | INFO | GET /favicon.ico
[2025-03-03 14:17:53] | WARNING | GET 404 /favicon.ico
[2025-03-03 14:17:53] | INFO | GET /favicon.ico
[2025-03-03 14:17:53] | WARNING | GET 404 /favicon.ico
[2025-03-03 14:18:03] | INFO | GET /images
[2025-03-03 14:18:03] | INFO | base_url http://0.0.0.0:8000
[2025-03-03 14:18:03] | INFO | GET /location.host/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:18:03] | WARNING | GET 404 /location.host/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:18:03] | INFO | GET /location.host/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:18:03] | WARNING | GET 404 /location.host/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:18:03] | INFO | GET /favicon.ico
[2025-03-03 14:18:03] | WARNING | GET 404 /favicon.ico
[2025-03-03 14:18:06] | INFO | GET /location.host/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:18:06] | WARNING | GET 404 /location.host/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:18:07] | INFO | GET /location.host/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:18:07] | WARNING | GET 404 /location.host/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:18:07] | INFO | GET /location.host/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:18:07] | WARNING | GET 404 /location.host/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:18:07] | INFO | GET /location.host/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:18:07] | WARNING | GET 404 /location.host/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:18:12] | INFO | GET /location.host/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:18:12] | WARNING | GET 404 /location.host/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:18:42] | INFO | GET /location.host/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:18:42] | WARNING | GET 404 /location.host/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:18:42] | INFO | GET /location.host/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:18:42] | WARNING | GET 404 /location.host/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:21:17] | INFO | GET /images
[2025-03-03 14:21:17] | INFO | base_url http://0.0.0.0:8000
[2025-03-03 14:21:18] | INFO | GET /images
[2025-03-03 14:21:18] | INFO | base_url http://0.0.0.0:8000
[2025-03-03 14:21:18] | INFO | GET /images
[2025-03-03 14:21:18] | INFO | base_url http://0.0.0.0:8000
[2025-03-03 14:21:18] | INFO | GET /images
[2025-03-03 14:21:18] | INFO | base_url http://0.0.0.0:8000
[2025-03-03 14:21:23] | INFO | GET /images
[2025-03-03 14:21:23] | INFO | base_url http://0.0.0.0:8000
[2025-03-03 14:21:44] | INFO | GET /images
[2025-03-03 14:21:44] | INFO | base_url http://0.0.0.0:8000
[2025-03-03 14:21:44] | INFO | GET /images/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:21:44] | WARNING | GET 404 /images/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:21:44] | INFO | GET /images/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:21:44] | WARNING | GET 404 /images/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
[2025-03-03 14:21:44] | INFO | GET /images/fc94e695-2b36-4933-afe8-b56a38dbd2a1.jpg
